AttributeName,Energy Saving,General Computing,Custom,Efficiency,Performance,Load Balance,High RAS,HPC,Low Latency,Server Side Java,Memory Throughput,I/O Throughput,NFV
MlcStreamerPrefetcherEnable,1,1,1,0,1,1,1,1,1,1,1,1,1
MlcSpatialPrefetcherEnable,1,1,1,0,1,1,1,1,1,1,1,1,1
DCUIPPrefetcherEnable,1,1,1,1,1,1,1,1,1,1,1,1,1
LlcPrefetchEnable,0,0,0,0,0,0,0,0,0,0,0,0,1
ProcessorHyperThreadingDisable,1,0,0,0,0,0,0,0,0,0,0,0,0
DCUStreamerPrefetcherEnable,1,1,1,0,1,1,1,1,1,1,1,1,1
ProcessorFlexibleRatioOverrideEnable,0,0,0,0,0,0,0,0,0,0,0,0,0
IsocEn,2,2,2,2,2,2,2,2,2,2,0,2,2
NumaEn,1,1,1,1,1,1,1,1,1,1,1,1,1
KtiLinkL0pEn,2,1,2,1,1,1,0,1,1,1,1,1,0
KtiLinkL1En,2,1,2,1,0,1,0,1,1,1,1,1,0
IrqThreshold,2,2,1,1,1,1,1,3,4,4,1,1,1
LLCDeadLineAlloc,1,1,1,1,1,1,1,1,1,1,1,1,1
KtiPrefetchEn,1,1,2,1,1,1,2,1,1,1,1,1,1
QpiLinkSpeed,3,3,3,3,3,3,3,3,3,3,3,3,3
XptPrefetchEn,2,2,2,2,2,2,2,2,2,2,2,2,2
MonitorMWait,1,0,0,1,0,1,0,0,0,0,0,0,0
UFSDisable,0,0,0,0,0,0,0,0,0,0,0,0,0
PowerSaving,0,0,0,1,0,0,0,0,0,0,0,0,0
ProcessorEistPsdFunc,0,0,0,0,0,0,0,0,0,0,0,0,0
BootPState,0,0,0,0,0,0,0,0,0,0,0,0,0
EETurboDisable,0,0,0,0,0,0,0,0,0,0,0,0,1
PwrPerfTuning,0,0,0,0,0,0,0,0,2,2,0,0,1
AltEngPerfBIAS,7,7,7,7,7,7,7,7,7,7,7,7,0
ProcessorEistEnable,1,1,1,1,1,1,0,1,1,1,1,1,1
TurboMode,1,1,1,1,1,1,0,1,1,1,1,1,1
ProcessorEPPEnable,1,1,1,1,1,1,1,1,1,1,1,1,1
ProcessorEppProfile,128,128,128,128,128,128,128,128,0,0,128,128,128
StaticTurbo,0,0,0,0,1,0,0,0,1,1,0,0,0
FreqSelect,40,40,40,40,40,40,40,40,40,40,40,40,40
ProcessorC1eEnable,1,0,0,1,0,1,0,0,0,0,0,1,0
C6Enable,1,0,0,1,0,1,0,0,0,0,0,1,0
ProcessorHWPMEnable,0,0,0,0,0,0,0,0,2,2,0,0,0
PackageCState,2,0xff,0xff,0xff,0xff,0xff,0xff,0,0,0,0xff,0,0
TStateEnable,1,1,1,0,0,0,0,1,1,1,1,1,1
EnableXe,1,1,1,1,1,1,1,1,1,1,1,1,1
CurrentUnderReport,0,0,0,0,0,0,0,3,0,0,0,0,0
SystemErrorEn,1,1,1,1,1,1,1,1,1,1,1,1,1
FDMSupport,1,1,1,1,1,1,1,1,1,1,1,1,1
PoisonEn,1,1,1,1,1,1,1,1,1,1,1,1,1
CkeProgramming,1,0,0,1,0,0,0,0,0,0,0,0,0
refreshMode,0,0,0,0,0,0,0,0,0,0,0,0,0
ADDDCEn,1,0,1,1,0,1,1,1,1,1,1,1,1
CustomRefreshRateEn,0,0,0,0,0,0,1,0,0,0,0,0,0
CustomRefreshRate,20,20,20,20,20,20,20,20,20,20,20,20,20
AttemptFastBootCold,1,1,1,1,1,1,0,1,1,1,1,1,1
